,Country name,Rank,Ladder score,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Logged GDP per capita,Year
0,Switzerland,1.0,7.587,1.34951,0.94143,0.66557,0.41978,0.29678,0.3339762671364967,2015
1,Iceland,2.0,7.561,1.40223,0.94784,0.62877,0.14145,0.4363,0.2641472893181173,2015
2,Denmark,3.0,7.527,1.36058,0.87464,0.64938,0.48357,0.34139,0.2817746579873144,2015
3,Norway,4.0,7.522,1.33095,0.88521,0.66973,0.36503,0.34699,0.37775126954064864,2015
4,Canada,5.0,7.427,1.32261,0.90563,0.63297,0.32957,0.45811,0.282385570717447,2015
5,Finland,6.0,7.406,1.31826,0.88911,0.64169,0.41372,0.23351,0.2548359980466994,2015
6,Netherlands,7.0,7.378,1.28017,0.89284,0.61576,0.31814,0.4761,0.2847578009345341,2015
7,Sweden,8.0,7.364,1.28907,0.91087,0.6598,0.43844,0.36262,0.28646383069653675,2015
8,New Zealand,9.0,7.286,1.31967,0.90837,0.63938,0.42922,0.47501,0.22328754094720504,2015
9,Australia,10.0,7.284,1.30923,0.93156,0.65124,0.35637,0.43562,0.2878670553413912,2015
10,Israel,11.0,7.278,1.22393,0.91387,0.41319,0.07785,0.33172,0.205850891412775,2015
11,Costa Rica,12.0,7.226,1.23788,0.86027,0.63376,0.10583,0.25497,-0.04522751793668954,2015
12,Austria,13.0,7.2,1.29704,0.89042,0.62433,0.18676,0.33088,0.2906003102508248,2015
13,Mexico,14.0,7.187,0.91451,0.81444,0.48181,0.21312,0.14074,0.020331898971918276,2015
14,United States,15.0,7.119,1.24711,0.86179,0.54604,0.1589,0.40105,0.33254309908873747,2015
15,Brazil,16.0,6.983,1.23287,0.69702,0.49049,0.17521,0.14574,-0.018938201020250848,2015
16,Luxembourg,17.0,6.946,1.21963,0.91894,0.61583,0.37798,0.28034,0.447189095710323,2015
17,Ireland,18.0,6.94,1.36948,0.89533,0.61777,0.28703,0.45901,0.2896501345464792,2015
18,Belgium,19.0,6.937,1.28566,0.89667,0.5845,0.2254,0.2225,0.26836162888633913,2015
19,United Arab Emirates,20.0,6.901,1.12575,0.80925,0.64157,0.38583,0.26428,0.3557635287260407,2015
